"","DATE","Type","work","mean","sd","min","25%","50%","75%","max"
"1",2010-01-01,"pm10","home",37.077,6.396,28,33,36,39,52
"2",2010-01-01,"pm10","work",35.727,3.69,29,34,36,37,41
"3",2010-01-02,"pm10","home",56.231,22.775,37,39,41,77,99
"4",2010-01-02,"pm10","work",55.182,19.24,39,43,47,61.5,102
"5",2010-01-03,"pm10","home",56.077,7.879,40,52,59,62,65
"6",2010-01-03,"pm10","work",42.091,5.431,33,38,43,45.5,50
"7",2010-01-04,"pm10","home",46.231,9.075,34,37,45,54,62
"8",2010-01-04,"pm10","work",27.455,2.806,24,25.5,27,29,33
"9",2010-01-05,"pm10","home",48.538,12.594,31,37,53,60,62
"10",2010-01-05,"pm10","work",52.545,12.533,29,43.5,56,63.5,68
"11",2010-01-06,"pm10","home",34.846,6.644,29,30,32,39,49
"12",2010-01-06,"pm10","work",40.455,13.736,27,28.5,39,44.5,70
"13",2010-01-07,"pm10","home",59.231,16.027,34,53,58,72,82
"14",2010-01-07,"pm10","work",71,13.168,46,62.5,76,80,87
"15",2010-01-08,"pm10","home",88.077,8.18,72,85,90,93,101
"16",2010-01-08,"pm10","work",85.273,36.011,39,51,87,114,141
"17",2010-01-09,"pm10","home",94.077,7.858,76,90,95,98,106
"18",2010-01-09,"pm10","work",92,25.667,43,80,98,111.5,122
"19",2010-01-10,"pm10","home",80,8.888,63,75,77,85,94
"20",2010-01-10,"pm10","work",63.364,21.191,40,45,55,81,99
"21",2010-01-11,"pm10","home",77.231,12.384,59,73,76,82,109
"22",2010-01-11,"pm10","work",83.364,28.922,48,59.5,85,102,130
"23",2010-01-12,"pm10","home",37.769,6.139,26,36,37,43,46
"24",2010-01-12,"pm10","work",31,7.211,18,26.5,34,36,40
"25",2010-01-13,"pm10","home",35.231,6.547,26,28,36,40,44
"26",2010-01-13,"pm10","work",40.364,5.163,31,36.5,42,43.5,48
"27",2010-01-14,"pm10","home",52,9.22,37,46,54,60,66
"28",2010-01-14,"pm10","work",54.091,5.3,44,50.5,55,58.5,60
"29",2010-01-15,"pm10","home",59.308,12.154,45,49,57,68,78
"30",2010-01-15,"pm10","work",56.818,15.911,40,45.5,52,64.5,90
"31",2010-01-16,"pm10","home",61.308,15.462,39,45,69,74,79
"32",2010-01-16,"pm10","work",64.727,33.85,29,43,50,86,122
"33",2010-01-17,"pm10","home",60.692,10.531,47,53,58,67,79
"34",2010-01-17,"pm10","work",55.455,9.954,44,46,59,62.5,69
"35",2010-01-18,"pm10","home",75.692,11.989,65,68,70,77,99
