"","DATE","Type","work","mean","sd","min","25%","50%","75%","max"
"1",2010-01-01,"pm10","home",36.308,7.227,29,30,33,39,50
"2",2010-01-01,"pm10","work",34.636,4.342,28,32.5,33,36,44
"3",2010-01-02,"pm10","home",60.154,28.201,37,39,43,81,113
"4",2010-01-02,"pm10","work",58.455,27.645,40,42,47,56.5,118
"5",2010-01-03,"pm10","home",55.385,6.035,47,50,55,61,64
"6",2010-01-03,"pm10","work",42.545,4.132,34,40.5,44,45,49
"7",2010-01-04,"pm10","home",48.308,9.123,35,43,50,58,61
"8",2010-01-04,"pm10","work",27.818,7.209,19,24.5,26,29,45
"9",2010-01-05,"pm10","home",50.077,12.698,31,35,54,60,65
"10",2010-01-05,"pm10","work",54.818,6.897,46,48.5,53,61.5,64
"11",2010-01-06,"pm10","home",35.385,7.633,27,30,33,38,49
"12",2010-01-06,"pm10","work",40.091,4.592,33,37.5,40,44,46
"13",2010-01-07,"pm10","home",53.154,14.064,39,41,47,70,73
"14",2010-01-07,"pm10","work",62.273,9.789,44,56,65,70,74
"15",2010-01-08,"pm10","home",80.077,6.8,69,77,80,84,90
"16",2010-01-08,"pm10","work",81.364,27.219,47,56.5,83,105.5,119
"17",2010-01-09,"pm10","home",83.231,11.91,64,72,86,88,105
"18",2010-01-09,"pm10","work",82.455,24.712,45,57,93,101,114
"19",2010-01-10,"pm10","home",76.769,21.741,39,68,76,96,105
"20",2010-01-10,"pm10","work",71,28.837,37,45.5,76,90.5,118
"21",2010-01-11,"pm10","home",73.769,14.973,53,63,71,76,103
"22",2010-01-11,"pm10","work",69.727,15.761,55,59,67,74.5,106
"23",2010-01-12,"pm10","home",36.231,7.886,23,29,37,42,48
"24",2010-01-12,"pm10","work",24.455,3.778,16,24,25,26.5,29
"25",2010-01-13,"pm10","home",37.077,6.006,29,31,39,40,48
"26",2010-01-13,"pm10","work",40.091,4.46,33,36.5,41,43,47
"27",2010-01-14,"pm10","home",48.538,11.095,36,39,45,58,64
"28",2010-01-14,"pm10","work",49.455,6.817,42,44.5,47,52,63
"29",2010-01-15,"pm10","home",58.692,13.841,43,47,57,68,81
"30",2010-01-15,"pm10","work",61.364,14.685,39,52,59,71,85
"31",2010-01-16,"pm10","home",59,14.44,29,48,66,70,73
"32",2010-01-16,"pm10","work",53.818,13.129,35,43,55,67,70
"33",2010-01-17,"pm10","home",57,10.214,42,51,54,62,77
"34",2010-01-17,"pm10","work",58.091,10.502,45,49,56,67.5,73
"35",2010-01-18,"pm10","home",77.692,22.096,58,62,64,100,116
"36",2010-01-18,"pm10","work",99.909,18.833,70,87,107,113.5,120
"37",2010-01-19,"pm10","home",93.769,15.067,71,80,95,102,121
"38",2010-01-19,"pm10","work",105,12.247,96,98,99.5,107,133
"39",2010-01-20,"pm10","home",58.077,18.808,25,50,59,74,84
"40",2010-01-20,"pm10","work",75,20.229,27,66,76,90,96
"41",2010-01-21,"pm10","home",42.154,5.444,33,39,43,45,53
"42",2010-01-21,"pm10","work",48.455,5.392,39,46.5,48,51,57
"43",2010-01-22,"pm10","home",44.615,16.988,28,32,34,63,74
"44",2010-01-22,"pm10","work",45.364,7.814,34,42,44,47,62
"45",2010-01-23,"pm10","home",51,6.671,42,46,49,55,63
"46",2010-01-23,"pm10","work",61.3,4.715,55,57.5,60.5,65.5,68
"47",2010-01-24,"pm10","home",60.692,28.903,30,38,49,92,103
"48",2010-01-24,"pm10","work",65.909,20.152,38,55,62,74,104
"49",2010-01-25,"pm10","home",118.077,32.887,84,97,108,119,183
"50",2010-01-25,"pm10","work",190.636,96.807,110,115,148,239.5,367
"51",2010-01-26,"pm10","home",57.846,8.952,48,52,55,58,78
"52",2010-01-26,"pm10","work",59.273,5.934,49,56,61,63.5,66
"53",2010-01-27,"pm10","home",50.923,7.053,37,46,52,56,61
"54",2010-01-27,"pm10","work",64.273,18.396,39,53,61,79,96
"55",2010-01-28,"pm10","home",43.846,15.459,17,34,48,53,65
"56",2010-01-28,"pm10","work",75.909,23.73,32,62,74,96,107
"57",2010-01-29,"pm10","home",51.769,32.06,20,26,33,90,99
"58",2010-01-29,"pm10","work",54,12.977,36,43,52,65.5,70
"59",2010-01-30,"pm10","home",81.231,13.59,63,67,82,93,100
"60",2010-01-30,"pm10","work",104.182,9.918,90,99.5,101,109,122
"61",2010-01-31,"pm10","home",101.615,36.886,68,70,82,140,152
"62",2010-01-31,"pm10","work",127.636,27.182,72,115.5,134,143.5,169
"63",2010-02-01,"pm10","home",116.154,40.116,44,84,139,143,164
"64",2010-02-01,"pm10","work",127.818,30.275,84,98,130,151,171
"65",2010-02-02,"pm10","home",30,6.88,18,27,28,36,42
"66",2010-02-02,"pm10","work",31.455,4.612,23,28.5,31,35.5,37
"67",2010-02-03,"pm10","home",52.615,4.959,45,48,55,57,58
"68",2010-02-03,"pm10","work",39.455,7.202,32,34,37,44,55
"69",2010-02-04,"pm10","home",55.615,11.072,45,48,51,60,78
"70",2010-02-04,"pm10","work",46.625,5.317,40,42.5,46.5,49.75,55
"71",2010-02-05,"pm10","home",40.231,6.057,30,37,40,44,51
"72",2010-02-05,"pm10","work",50.182,5.845,43,46,49,55,59
"73",2010-02-06,"pm10","home",55.077,11.214,39,46,50,66,72
"74",2010-02-06,"pm10","work",52.818,15.568,31,40,57,62.5,79
"75",2010-02-07,"pm10","home",62.231,11.512,30,57,65,71,74
"76",2010-02-07,"pm10","work",48.909,25.63,15,27,60,67,85
"77",2010-02-08,"pm10","home",64.385,13.763,47,52,62,74,88
"78",2010-02-08,"pm10","work",65.182,14.02,52,56,61,66,96
"79",2010-02-09,"pm10","home",63.077,7.921,53,58,61,69,78
"80",2010-02-09,"pm10","work",67.091,11.76,50,58,68,75.5,86
"81",2010-02-10,"pm10","home",32.154,17.165,9,13,43,44,51
"82",2010-02-10,"pm10","work",34.182,14.254,11,24,36,45,52
"83",2010-02-11,"pm10","home",8.538,3.992,4,5,7,12,15
"84",2010-02-11,"pm10","work",10.455,5.392,1,7.5,8,14.5,19
"85",2010-02-12,"pm10","home",28.846,21.213,10,12,18,48,71
"86",2010-02-12,"pm10","work",16.364,5.221,10,12.5,16,18.5,27
"87",2010-02-13,"pm10","home",37.385,10.508,20,31,36,44,56
"88",2010-02-13,"pm10","work",32.455,4.906,26,29,32,36,41
"89",2010-02-14,"pm10","home",40.692,9.169,26,33,44,48,55
"90",2010-02-14,"pm10","work",33.182,3.816,28,31,32,35,42
"91",2010-02-15,"pm10","home",64.538,11.53,46,56,65,74,81
"92",2010-02-15,"pm10","work",61.091,9.555,44,54,66,69,71
"93",2010-02-16,"pm10","home",43.769,5.718,34,38,45,47,52
"94",2010-02-16,"pm10","work",47.818,3.763,43,44.5,48,50.5,53
"95",2010-02-17,"pm10","home",57.154,29.557,31,35,38,90,99
"96",2010-02-17,"pm10","work",57.273,14.554,37,47.5,56,66,86
"97",2010-02-18,"pm10","home",68.077,11.55,47,61,69,72,90
"98",2010-02-18,"pm10","work",75.636,23.419,40,63.5,73,87.5,118
"99",2010-02-19,"pm10","home",69.154,9.397,58,62,65,81,82
"100",2010-02-19,"pm10","work",62.455,17.733,34,52,58,75,90
"101",2010-02-20,"pm10","home",84,11.762,72,76,79,86,108
"102",2010-02-20,"pm10","work",85.182,10.352,76,77.5,80,88.5,104
"103",2010-02-21,"pm10","home",71.769,9.409,56,61,77,78,82
"104",2010-02-21,"pm10","work",60,17.263,44,48.5,51,71,90
"105",2010-02-22,"pm10","home",73.385,40.685,44,44,45,106,150
"106",2010-02-22,"pm10","work",91.889,25.266,48,83,90,111,124
"107",2010-02-23,"pm10","home",100.846,34.224,73,74,77,134,150
"108",2010-02-23,"pm10","work",87.909,20.28,58,67.5,101,103,110
"109",2010-02-24,"pm10","home",91.308,26.744,35,81,91,110,127
"110",2010-02-24,"pm10","work",83.778,21.076,46,69,87,103,105
"111",2010-02-25,"pm10","home",47.615,25.135,19,29,35,64,96
"112",2010-02-25,"pm10","work",19,12.728,7,9.75,14.5,25.25,44
"113",2010-02-26,"pm10","home",36.385,22.378,10,16,31,53,79
"114",2010-02-26,"pm10","work",28.909,11.903,13,19,29,38.5,47
"115",2010-02-27,"pm10","home",53.615,24.871,20,30,55,78,86
"116",2010-02-27,"pm10","work",37.364,12.484,20,29,34,44.5,61
"117",2010-02-28,"pm10","home",62.462,20.169,39,40,62,71,98
"118",2010-02-28,"pm10","work",60.909,17.902,39,47.5,55,74,92
"119",2010-03-01,"pm10","home",44.417,34.977,4,10.25,44,79,88
"120",2010-03-01,"pm10","work",1.286,0.488,1,1,1,1.5,2
"121",2010-03-02,"pm10","home",30.077,30.775,5,6,12,52,86
"122",2010-03-02,"pm10","work",30.818,13.884,14,20,27,38.5,60
"123",2010-03-03,"pm10","home",98.615,16.49,76,87,101,110,130
"124",2010-03-03,"pm10","work",111.182,15.407,83,105,110,120.5,133
"125",2010-03-04,"pm10","home",32.692,13.961,10,24,34,42,55
"126",2010-03-04,"pm10","work",30.273,13.484,11,18.5,28,41.5,49
"127",2010-03-05,"pm10","home",55.615,38.984,16,24,37,100,120
"128",2010-03-05,"pm10","work",29.545,10.949,19,20.5,27,37,52
"129",2010-03-06,"pm10","home",63.923,35.662,15,23,82,93,100
"130",2010-03-06,"pm10","work",85.091,15.488,61,72,90,99,103
"131",2010-03-07,"pm10","home",15.308,1.974,13,14,15,16,20
"132",2010-03-07,"pm10","work",18.364,4.696,10,15,19,22.5,24
"133",2010-03-08,"pm10","home",17.077,7.285,10,12,14,24,30
"134",2010-03-08,"pm10","work",17.364,3.557,13,15,18,19,25
"135",2010-03-09,"pm10","home",23.615,10.821,13,16,20,28,48
"136",2010-03-09,"pm10","work",27.909,7.803,18,21.5,27,35,38
"137",2010-03-10,"pm10","home",29.462,8.647,20,24,26,35,45
"138",2010-03-10,"pm10","work",43.667,13.134,24,34,44,55,58
"139",2010-03-11,"pm10","home",54.692,24.978,30,36,39,80,93
"140",2010-03-11,"pm10","work",50,13.928,33,41,47,57.5,74
"141",2010-03-12,"pm10","home",82.308,26.672,51,60,73,103,131
"142",2010-03-12,"pm10","work",96.7,50.848,46,55.25,82,125.25,194
"143",2010-03-13,"pm10","home",120.077,18.104,91,105,125,135,146
"144",2010-03-13,"pm10","work",154.364,29.347,130,134.5,139,171.5,214
"145",2010-03-14,"pm10","home",100.923,14.074,84,90,99,104,134
"146",2010-03-14,"pm10","work",127.545,63.089,67,79.5,107,164.5,250
"147",2010-03-15,"pm10","home",177.692,159.097,36,57,71,345,428
"148",2010-03-15,"pm10","work",34,45.031,7,11,18,28,159
"149",2010-03-16,"pm10","home",264.462,178.866,46,51,370,410,448
"150",2010-03-16,"pm10","work",209.455,177.076,41,65,100,398.5,460
"151",2010-03-17,"pm10","home",65.077,14.291,48,56,59,78,90
"152",2010-03-17,"pm10","work",57.273,14.691,35,49,56,62.5,89
"153",2010-03-18,"pm10","home",52.077,7.17,42,47,51,57,64
"154",2010-03-18,"pm10","work",46,6.957,33,40.5,49,51.5,54
"155",2010-03-19,"pm10","home",61.154,21.455,37,43,50,85,90
"156",2010-03-19,"pm10","work",40,13.483,25,30.5,33,54,63
"157",2010-03-20,"pm10","home",135.538,156.797,45,71,82,86,573
"158",2010-03-20,"pm10","work",120.182,105.177,34,58,91,108,381
"159",2010-03-21,"pm10","home",54.385,16.363,26,41,57,65,77
"160",2010-03-21,"pm10","work",42.818,11.848,30,35,38,45,65
"161",2010-03-22,"pm10","home",43.615,9.421,27,35,49,52,53
"162",2010-03-22,"pm10","work",57.364,20.363,31,35.5,61,72,87
"163",2010-03-23,"pm10","home",52.231,26.297,30,31,37,81,92
"164",2010-03-23,"pm10","work",59.364,14.109,37,48,67,70,72
"165",2010-03-24,"pm10","home",86.462,28.667,54,61,84,110,134
"166",2010-03-24,"pm10","work",87,15.987,57,81,91,98,106
"167",2010-03-25,"pm10","home",64.308,16.963,40,49,66,75,90
"168",2010-03-25,"pm10","work",56.273,16.829,28,47.5,53,69,86
"169",2010-03-26,"pm10","home",56,26.981,26,32,39,86,92
"170",2010-03-26,"pm10","work",53.636,21.951,29,35.5,48,72.5,87
"171",2010-03-27,"pm10","home",92.077,35.201,54,64,80,124,143
"172",2010-03-27,"pm10","work",103.091,13.088,76,98,107,111,121
"173",2010-03-28,"pm10","home",63,26.448,34,41,58,68,120
"174",2010-03-28,"pm10","work",43.091,11.861,25,36.5,43,45.5,68
"175",2010-03-29,"pm10","home",60.538,28.477,34,39,42,91,102
"176",2010-03-29,"pm10","work",65.909,15.738,41,52,65,78,86
"177",2010-03-30,"pm10","home",70.154,10.082,50,64,74,77,84
"178",2010-03-30,"pm10","work",70.222,10.281,53,65,68,76,87
"179",2010-03-31,"pm10","home",42.308,17.946,16,32,37,58,69
"180",2010-03-31,"pm10","work",17.818,7.679,9,13,14,22.5,33
"181",2010-04-01,"pm10","home",65.077,35.563,27,35,55,94,121
"182",2010-04-01,"pm10","work",72.1,48.31,33,35.25,51,114.25,149
"183",2010-04-02,"pm10","home",90.692,50.914,46,52,58,129,183
"184",2010-04-02,"pm10","work",106.455,18.928,80,94,100,117,144
"185",2010-04-03,"pm10","home",74.077,10.243,60,68,72,76,102
"186",2010-04-03,"pm10","work",82.5,17.74,63,73.75,78,82.5,118
"187",2010-04-04,"pm10","home",58.462,4.274,49,56,59,62,65
"188",2010-04-04,"pm10","work",61.091,7.217,46,57,62,65.5,73
"189",2010-04-05,"pm10","home",54.692,4.211,45,52,55,57,61
"190",2010-04-05,"pm10","work",51.545,16.682,30,37.5,50,65,78
"191",2010-04-06,"pm10","home",49.308,7.598,38,43,49,56,61
"192",2010-04-06,"pm10","work",48.091,17.863,23,34.5,49,60.5,75
"193",2010-04-07,"pm10","home",53.923,16.163,37,41,44,71,78
"194",2010-04-07,"pm10","work",35.455,9.72,23,27.5,36,43,53
"195",2010-04-08,"pm10","home",65,6.658,56,60,63,69,76
"196",2010-04-08,"pm10","work",66.4,7.516,55,61,67,72.5,76
"197",2010-04-09,"pm10","home",57.615,23.411,33,42,49,66,103
"198",2010-04-09,"pm10","work",49.818,14.317,32,40,44,60,75
"199",2010-04-10,"pm10","home",63.308,22.194,32,42,71,77,100
"200",2010-04-10,"pm10","work",66.636,32.299,33,40.5,53,98.5,120
"201",2010-04-11,"pm10","home",31.308,10.419,23,24,27,30,51
"202",2010-04-11,"pm10","work",32.273,9.21,20,23.5,34,38.5,46
"203",2010-04-12,"pm10","home",33.615,15.202,18,21,26,47,58
"204",2010-04-12,"pm10","work",35.273,7.268,24,31,34,38.5,52
"205",2010-04-13,"pm10","home",23.231,14.001,2,12,27,32,52
"206",2010-04-13,"pm10","work",46.7,13.392,30,40,41.5,59.25,66
"207",2010-04-14,"pm10","home",36.769,3.7,28,36,38,40,41
"208",2010-04-14,"pm10","work",37,4.517,30,34,37,39.5,46
"209",2010-04-15,"pm10","home",56.154,32.754,30,35,36,74,113
"210",2010-04-15,"pm10","work",41.455,6.743,32,37,41,46,52
"211",2010-04-16,"pm10","home",91.154,38.039,41,49,104,116,141
"212",2010-04-16,"pm10","work",82.182,25.6,54,59.5,77,100,136
"213",2010-04-17,"pm10","home",62.083,17.886,32,51,61,72.25,92
"214",2010-04-17,"pm10","work",57.091,10.358,44,50.5,56,61,81
"215",2010-04-18,"pm10","home",61.231,10.018,48,54,57,70,75
"216",2010-04-18,"pm10","work",73.3,12.667,53,66,76,83.75,87
"217",2010-04-19,"pm10","home",65.308,22.017,43,49,51,87,100
"218",2010-04-19,"pm10","work",71.818,13.06,52,62.5,73,82.5,89
"219",2010-04-20,"pm10","home",70,17.321,45,54,76,84,91
"220",2010-04-20,"pm10","work",53.7,24.413,10,40,56,70.5,94
"221",2010-04-21,"pm10","home",33.692,7.465,21,30,32,38,47
"222",2010-04-21,"pm10","work",42.273,4.315,33,40.5,43,45,48
"223",2010-04-22,"pm10","home",17.538,10.373,4,7,20,29,32
"224",2010-04-22,"pm10","work",11.273,2.901,6,9,12,13.5,15
"225",2010-04-23,"pm10","home",24.538,14.953,7,12,24,35,58
"226",2010-04-23,"pm10","work",25.909,6.685,12,21.5,29,30.5,33
"227",2010-04-24,"pm10","home",73.769,29.934,44,51,55,106,120
"228",2010-04-24,"pm10","work",62.364,8.453,43,60.5,62,66,76
"229",2010-04-25,"pm10","home",75.615,11.169,56,71,75,81,102
"230",2010-04-25,"pm10","work",61.818,9.13,47,56.5,61,66,78
"231",2010-04-26,"pm10","home",47.231,23.573,13,27,56,64,76
"232",2010-04-26,"pm10","work",55.091,20.506,19,40.5,54,72,80
"233",2010-04-27,"pm10","home",35.917,15.24,14,21.75,40,47.25,55
"234",2010-04-27,"pm10","work",38.1,7.549,23,37,39.5,43.25,48
